,flight_number,carrier,depart_terminal,arrival_terminal,depart_time,arrival_time,aircraft
445,AA317,American Airlines,ORD,DEN,1578336600000,1578342900000,Boeing 737-800 (738)
446,AA2470,American Airlines,ORD,DEN,1578329940000,1578336540000,Airbus A319 (319)
447,AA1387,American Airlines,ORD,DEN,1578368700000,1578374940000,Boeing 737-800 (738)
448,AA309,American Airlines,ORD,DEN,1578343500000,1578349800000,Airbus A320 (320)
449,UA2476,United Airlines,ORD,DEN,1578315600000,1578321900000,Boeing 737-800 (738)
450,UA403,United Airlines,ORD,DEN,1578318300000,1578324480000,Boeing 757-300 Passenger
451,UA775,United Airlines,ORD,DEN,1578339900000,1578346200000,Boeing 757-300 Passenger
452,UA692,United Airlines,ORD,DEN,1578358620000,1578364860000,Boeing 737-900 Passenger
453,UA269,United Airlines,ORD,DEN,1578365100000,1578371580000,Boeing 757-200 (752)
454,UA2220,United Airlines,ORD,DEN,1578345840000,1578352140000,Boeing 757-300 Passenger
455,UA501,United Airlines,ORD,DEN,1578331380000,1578338340000,Boeing 757-300 Passenger
456,UA407,United Airlines,ORD,DEN,1578351600000,1578357900000,Boeing 757-300 Passenger
457,UA675,United Airlines,ORD,DEN,1578323040000,1578330000000,Boeing 757-300 Passenger
458,AA1452,American Airlines,ORD,ATL,1578320100000,1578330900000,Airbus A319 (319)
459,AA3521,American Airlines,ORD,ATL,1578323460000,1578335100000,Embraer ERJ-175 (E75)
460,AA4154,American Airlines,ORD,ATL,1578349560000,1578360960000,Embraer ERJ-175 (E75)
461,DL1480,Delta Airlines,ORD,ATL,1578321060000,1578331920000,Boeing 717-200
462,DL2012,Delta Airlines,ORD,ATL,1578327600000,1578338580000,Boeing (Douglas) MD-88
463,DL2183,Delta Airlines,ORD,ATL,1578331680000,1578342480000,Boeing 717-200
464,DL812,Delta Airlines,ORD,ATL,1578341400000,1578352020000,Boeing (Douglas) MD-88
465,DL2890,Delta Airlines,ORD,ATL,1578348000000,1578358860000,Boeing 717-200
466,DL1612,Delta Airlines,ORD,ATL,1578354900000,1578365760000,Boeing (Douglas) MD-88
467,AA2385,American Airlines,ORD,ATL,1578355200000,1578365820000,Airbus A319 (319)
468,DL1906,Delta Airlines,ORD,ATL,1578359100000,1578370320000,Boeing (Douglas) MD-88
469,AA2366,American Airlines,ORD,ATL,1578362400000,1578373380000,Airbus A319 (319)
470,DL972,Delta Airlines,ORD,ATL,1578337440000,1578348420000,Boeing (Douglas) MD-90
471,DL475,Delta Airlines,ORD,ATL,1578323820000,1578334740000,Boeing 717-200
472,UA1027,United Airlines,ORD,ATL,1578370200000,1578380820000,Boeing 737-800 (738)
473,UA305,United Airlines,ORD,ATL,1578345360000,1578356700000,Airbus A320 (320)
474,DL805,Delta Airlines,ORD,ATL,1578365580000,1578376500000,Boeing 717-200
475,UA1155,United Airlines,ORD,ATL,1578315600000,1578326700000,Airbus A319 (319)
476,DL977,Delta Airlines,ORD,ATL,1578313800000,1578324540000,Airbus A321 (321)
477,UA3553,United Airlines,ORD,ATL,1578328320000,1578339780000,Embraer 170
478,UA4145,United Airlines,ORD,ATL,1578358500000,1578370140000,Embraer 175 (Enhanced Winglets)
479,UA4049,United Airlines,ORD,ATL,1578340500000,1578351840000,Embraer 175 (Enhanced Winglets)
480,AA2682,American Airlines,ORD,BOS,1578368100000,1578379800000,Boeing 737-800 (738)
481,AA2723,American Airlines,ORD,BOS,1578323940000,1578335760000,Boeing 737-800 (738)
482,AA2321,American Airlines,ORD,BOS,1578348600000,1578360360000,Boeing 737-800 (738)
483,AA1251,American Airlines,ORD,BOS,1578356040000,1578367560000,Boeing 737-800 (738)
484,AA1172,American Airlines,ORD,BOS,1578360600000,1578372720000,Boeing 737-800 (738)
485,UA342,United Airlines,ORD,BOS,1578315600000,1578327120000,Airbus A320 (320)
486,AA2384,American Airlines,ORD,BOS,1578319800000,1578331620000,Boeing 737-800 (738)
487,UA1420,United Airlines,ORD,BOS,1578327780000,1578339300000,Airbus A319 (319)
488,UA301,United Airlines,ORD,BOS,1578335100000,1578346920000,Boeing 757-200 (752)
489,UA790,United Airlines,ORD,BOS,1578359700000,1578372000000,Boeing 737-800 (738)
490,UA670,United Airlines,ORD,BOS,1578371160000,1578382800000,Boeing 737-900 Passenger
491,DL6139,Delta Airlines,ORD,BOS,1578336900000,1578349320000,Embraer ERJ-175 (E75)
492,UA578,United Airlines,ORD,BOS,1578344400000,1578356400000,Airbus A320 (320)
493,DL5904,Delta Airlines,ORD,BOS,1578325980000,1578338640000,Embraer ERJ-175 (E75)
494,DL5912,Delta Airlines,ORD,BOS,1578365700000,1578378180000,Embraer ERJ-175 (E75)
495,DL6142,Delta Airlines,ORD,BOS,1578347100000,1578359520000,Embraer 170
496,UA1572,United Airlines,ORD,BOS,1578321900000,1578333420000,Boeing 737-800 (738)
497,AA345,American Airlines,ORD,SFO,1578319440000,1578330000000,Boeing 737-800 (738)
498,AA2634,American Airlines,ORD,SFO,1578333300000,1578343920000,Boeing 737-800 (738)
499,AA2798,American Airlines,ORD,SFO,1578355260000,1578365760000,Boeing 737-800 (738)
500,UA2166,United Airlines,ORD,SFO,1578315600000,1578325380000,Boeing 737-800 (738)
501,UA761,United Airlines,ORD,SFO,1578324600000,1578334080000,Boeing 777-200 (777)
502,UA499,United Airlines,ORD,SFO,1578335100000,1578345720000,Boeing 737-900 Passenger
503,UA1790,United Airlines,ORD,SFO,1578340800000,1578351180000,Airbus A320 (320)
504,UA422,United Airlines,ORD,SFO,1578359460000,1578370200000,Boeing 737-900 Passenger
505,AA709,American Airlines,ORD,SFO,1578367200000,1578377580000,Boeing 737-800 (738)
506,UA1742,United Airlines,ORD,SFO,1578367980000,1578378720000,Boeing 757-300 Passenger
507,UA1891,United Airlines,ORD,SFO,1578330000000,1578339960000,Boeing 757-300 Passenger
508,UA248,United Airlines,ORD,SFO,1578351900000,1578362040000,Boeing 757-300 Passenger
509,AA2639,American Airlines,ORD,SFO,1578347100000,1578357420000,Boeing 737-800 (738)
510,UA2198,United Airlines,ORD,IAD,1578316500000,1578326400000,Airbus A320 (320)
511,UA843,United Airlines,ORD,IAD,1578359700000,1578370380000,Airbus A320 (320)
512,UA632,United Airlines,ORD,IAD,1578326400000,1578336600000,Airbus A319 (319)
513,UA2000,United Airlines,ORD,IAD,1578370500000,1578380340000,Boeing 737-900 Passenger
514,UA340,United Airlines,ORD,IAD,1578340800000,1578350820000,Airbus A320 (320)
515,AA1057,American Airlines,BOS,PHX,1578340380000,1578356040000,Airbus A321 (321)
516,AA2260,American Airlines,BOS,PHX,1578315600000,1578331680000,Airbus A321 (321)
517,AA2229,American Airlines,BOS,PHX,1578328500000,1578344400000,Boeing 737-800 (738)
518,AA403,American Airlines,BOS,PHX,1578352260000,1578368040000,Airbus A321 (321)
519,DL2991,Delta Airlines,BOS,SEA,1578318000000,1578331140000,Boeing 757-200 (752)
520,UA448,United Airlines,BOS,DEN,1578349020000,1578359400000,Boeing 737-900 Passenger
521,UA416,United Airlines,BOS,DEN,1578328440000,1578338520000,Boeing 737-800 (738)
522,UA652,United Airlines,BOS,DEN,1578336720000,1578346800000,Boeing 737-800 (738)
523,UA647,United Airlines,BOS,DEN,1578314700000,1578324780000,Boeing 737-900 Passenger
524,DL1501,Delta Airlines,BOS,ATL,1578319200000,1578330300000,Airbus A321 (321)
525,DL2552,Delta Airlines,BOS,ATL,1578314700000,1578326040000,Boeing 737-900 Passenger
526,DL123,Delta Airlines,BOS,ATL,1578351300000,1578362160000,Airbus A321 (321)
527,DL1880,Delta Airlines,BOS,ATL,1578327900000,1578338700000,Airbus A321 (321)
528,DL2570,Delta Airlines,BOS,ATL,1578366900000,1578377940000,Airbus A321 (321)
529,DL2648,Delta Airlines,BOS,ATL,1578322800000,1578333660000,Boeing 757-200 (752)
530,DL2749,Delta Airlines,BOS,ATL,1578338520000,1578349260000,Airbus A321 (321)
531,DL2643,Delta Airlines,BOS,ATL,1578361440000,1578372300000,Airbus A321 (321)
532,DL1077,Delta Airlines,BOS,ATL,1578344400000,1578355020000,Airbus A321 (321)
533,DL1500,Delta Airlines,BOS,ATL,1578356160000,1578367380000,Boeing 757-200 (752)
534,DL800,Delta Airlines,BOS,ATL,1578333600000,1578344220000,Airbus A321 (321)
535,AA2264,American Airlines,BOS,ORD,1578342600000,1578349980000,Airbus A321 (321)
536,AA1109,American Airlines,BOS,ORD,1578363240000,1578370920000,Boeing 737-800 (738)
537,AA1509,American Airlines,BOS,ORD,1578319200000,1578327000000,Boeing 737-800 (738)
538,AA1239,American Airlines,BOS,ORD,1578325800000,1578333420000,Boeing 737-800 (738)
539,AA2265,American Airlines,BOS,ORD,1578315600000,1578323100000,Boeing 737-800 (738)
540,UA1251,United Airlines,BOS,ORD,1578330000000,1578337200000,Airbus A320 (320)
541,AA1287,American Airlines,BOS,ORD,1578337620000,1578345120000,Boeing 737-800 (738)
542,UA1564,United Airlines,BOS,ORD,1578342000000,1578349080000,Airbus A319 (319)
543,UA599,United Airlines,BOS,ORD,1578354000000,1578361080000,Airbus A320 (320)
544,DL6139,Delta Airlines,BOS,ORD,1578327300000,1578334920000,Embraer ERJ-175 (E75)
545,UA439,United Airlines,BOS,ORD,1578360300000,1578367380000,Airbus A320 (320)
546,DL5904,Delta Airlines,BOS,ORD,1578316200000,1578324180000,Embraer ERJ-175 (E75)
547,UA449,United Airlines,BOS,ORD,1578319200000,1578326400000,Boeing 737-900 Passenger
548,DL5912,Delta Airlines,BOS,ORD,1578355800000,1578363600000,Embraer ERJ-175 (E75)
549,DL6133,Delta Airlines,BOS,ORD,1578365940000,1578373560000,Embraer ERJ-175 (E75)
550,DL6142,Delta Airlines,BOS,ORD,1578337800000,1578345300000,Embraer 170
551,UA789,United Airlines,BOS,ORD,1578365940000,1578373020000,Airbus A320 (320)
552,UA477,United Airlines,BOS,SFO,1578331800000,1578345840000,Boeing 757-200 (752)
553,UA351,United Airlines,BOS,SFO,1578350400000,1578364560000,Boeing 757-200 (752)
554,UA2400,United Airlines,BOS,SFO,1578358380000,1578372600000,Boeing 757-200 (752)
555,UA433,United Airlines,BOS,SFO,1578315600000,1578329400000,Boeing 757-200 (752)
556,DL2488,Delta Airlines,BOS,SFO,1578321600000,1578336420000,Boeing 757-200 (752)
557,UA207,United Airlines,BOS,SFO,1578323700000,1578337680000,Boeing 757-200 (752)
558,UA2136,United Airlines,BOS,IAD,1578364440000,1578370620000,Airbus A319 (319)
559,UA511,United Airlines,BOS,IAD,1578346500000,1578352740000,Boeing 737-900 Passenger
560,UA525,United Airlines,BOS,IAD,1578329100000,1578335100000,Boeing 737-900 Passenger
561,UA389,United Airlines,BOS,IAD,1578315300000,1578321300000,Boeing 737-900 Passenger
562,AA1880,American Airlines,SFO,PHX,1578336360000,1578347700000,Airbus A321 (321)
563,AA1868,American Airlines,SFO,PHX,1578325620000,1578336840000,Airbus A321 (321)
564,AA1037,American Airlines,SFO,PHX,1578352200000,1578362940000,Airbus A321 (321)
565,UA2405,United Airlines,SFO,PHX,1578362460000,1578373380000,Boeing 737-800 (738)
566,UA2411,United Airlines,SFO,PHX,1578367620000,1578378540000,Airbus A319 (319)
567,UA2388,United Airlines,SFO,PHX,1578332640000,1578343740000,Boeing 737-900 Passenger
568,UA2398,United Airlines,SFO,PHX,1578340320000,1578351420000,Boeing 737-800 (738)
569,AA6861,American Airlines,SFO,SEA,1578355800000,1578363900000,Boeing 737-900 (winglets) Passenger/BBJ3
570,AA6914,American Airlines,SFO,SEA,1578315600000,1578324000000,Boeing 737-800 (winglets) Passenger/BBJ2
571,AA6792,American Airlines,SFO,SEA,1578319200000,1578327600000,Boeing 737-900 (winglets) Passenger/BBJ3
572,AA7635,American Airlines,SFO,SEA,1578326700000,1578335760000,Embraer ERJ-175 (E75)
573,UA277,United Airlines,SFO,SEA,1578334920000,1578344100000,Airbus A320 (320)
574,DL2429,Delta Airlines,SFO,SEA,1578338760000,1578346680000,Airbus A319 (319)
575,UA759,United Airlines,SFO,SEA,1578340320000,1578348840000,Boeing 737-800 (738)
576,UA447,United Airlines,SFO,SEA,1578353040000,1578361320000,Airbus A320 (320)
577,AA6853,American Airlines,SFO,SEA,1578354900000,1578363000000,Boeing 737-900 (winglets) Passenger/BBJ3
578,DL2984,Delta Airlines,SFO,SEA,1578359340000,1578367380000,Airbus A319 (319)
579,UA2161,United Airlines,SFO,SEA,1578361980000,1578370260000,Airbus A320 (320)
580,DL1832,Delta Airlines,SFO,SEA,1578366240000,1578374520000,Boeing 737-800 (738)
581,UA351,United Airlines,SFO,SEA,1578376620000,1578384900000,Boeing 737-900 Passenger
582,DL2490,Delta Airlines,SFO,SEA,1578332220000,1578340680000,Airbus A220-100 Passenger
583,DL2002,Delta Airlines,SFO,SEA,1578354720000,1578362940000,Airbus A220-100 Passenger
584,DL2703,Delta Airlines,SFO,SEA,1578316800000,1578325200000,Airbus A220-100 Passenger
585,UA733,United Airlines,SFO,SEA,1578365160000,1578373440000,Boeing 737-900 Passenger
586,UA1549,United Airlines,SFO,SEA,1578317100000,1578325380000,Airbus A319 (319)
587,UA5866,United Airlines,SFO,SEA,1578325320000,1578334320000,Embraer 175 (Enhanced Winglets)
588,UA431,United Airlines,SFO,DEN,1578318000000,1578331260000,Boeing 737-900 Passenger
589,UA948,United Airlines,SFO,DEN,1578327180000,1578340200000,Boeing 737-900 Passenger
590,UA223,United Airlines,SFO,DEN,1578333600000,1578347100000,Boeing 757-300 Passenger
591,UA1013,United Airlines,SFO,DEN,1578340500000,1578353520000,Boeing 757-300 Passenger
592,UA2115,United Airlines,SFO,DEN,1578317100000,1578330360000,Boeing 757-300 Passenger
593,UA720,United Airlines,SFO,DEN,1578345780000,1578358800000,Boeing 757-300 Passenger
594,UA2242,United Airlines,SFO,DEN,1578351960000,1578364800000,Boeing 737-900 Passenger
595,UA2031,United Airlines,SFO,DEN,1578358800000,1578371640000,Boeing 737-900 Passenger
596,DL1210,Delta Airlines,SFO,ATL,1578315600000,1578342720000,Boeing 737-900 Passenger
597,DL505,Delta Airlines,SFO,ATL,1578327000000,1578354180000,Boeing 737-900 Passenger
598,DL1446,Delta Airlines,SFO,ATL,1578373200000,1578400140000,Boeing 737-900 Passenger
599,DL1865,Delta Airlines,SFO,ATL,1578320100000,1578347100000,Boeing 757-200 (752)
600,UA1554,United Airlines,SFO,ATL,1578375720000,1578403140000,Airbus A320 (320)
601,DL2049,Delta Airlines,SFO,ATL,1578336720000,1578364320000,Boeing 757-300 Passenger
602,DL3040,Delta Airlines,SFO,ATL,1578340500000,1578368160000,Boeing 737-900 Passenger
603,UA575,United Airlines,SFO,ATL,1578332520000,1578360300000,Airbus A319 (319)
604,DL2381,Delta Airlines,SFO,ATL,1578348540000,1578375660000,Boeing 737-900 Passenger
605,AA2614,American Airlines,SFO,ORD,1578321900000,1578344640000,Boeing 737-800 (738)
606,AA2691,American Airlines,SFO,ORD,1578326400000,1578349140000,Boeing 737-800 (738)
607,AA345,American Airlines,SFO,ORD,1578333660000,1578356760000,Boeing 737-800 (738)
608,AA1462,American Airlines,SFO,ORD,1578346680000,1578369480000,Boeing 737-800 (738)
609,UA616,United Airlines,SFO,ORD,1578318600000,1578341280000,Airbus A320 (320)
610,UA2440,United Airlines,SFO,ORD,1578332400000,1578355440000,Boeing 757-200 (752)
611,UA705,United Airlines,SFO,ORD,1578355740000,1578377880000,Boeing 737-900 Passenger
612,UA1800,United Airlines,SFO,ORD,1578359220000,1578381300000,Boeing 737-800 (738)
613,AA215,American Airlines,SFO,ORD,1578380280000,1578402660000,Boeing 737-800 (738)
614,UA780,United Airlines,SFO,ORD,1578344100000,1578367080000,Boeing 757-300 Passenger
615,UA390,United Airlines,SFO,ORD,1578350100000,1578372180000,Boeing 737-800 (738)
616,UA2457,United Airlines,SFO,ORD,1578377400000,1578399300000,Boeing 757-300 Passenger
617,UA639,United Airlines,SFO,ORD,1578324600000,1578347040000,Boeing 757-300 Passenger
618,UA1213,United Airlines,SFO,BOS,1578368400000,1578399180000,Boeing 757-200 (752)
619,UA768,United Airlines,SFO,BOS,1578323700000,1578354720000,Boeing 757-200 (752)
620,UA1865,United Airlines,SFO,BOS,1578333900000,1578365700000,Boeing 757-200 (752)
621,UA235,United Airlines,SFO,BOS,1578379800000,1578410580000,Boeing 757-200 (752)
622,DL2488,Delta Airlines,SFO,BOS,1578340200000,1578371040000,Boeing 757-200 (752)
623,UA242,United Airlines,SFO,BOS,1578343800000,1578374580000,Boeing 757-200 (752)
624,UA291,United Airlines,SFO,IAD,1578321000000,1578348960000,Boeing 777-200 (777)
625,UA2247,United Airlines,SFO,IAD,1578372000000,1578400560000,Airbus A320 (320)
626,UA517,United Airlines,SFO,IAD,1578354300000,1578382920000,Boeing 737-800 (738)
627,UA309,United Airlines,SFO,IAD,1578338100000,1578367140000,Airbus A320 (320)
628,UA727,United Airlines,SFO,IAD,1578340800000,1578369840000,Boeing 757-200 (752)
629,UA516,United Airlines,SFO,IAD,1578328200000,1578357360000,Boeing 757-200 (752)
630,UA1912,United Airlines,SFO,IAD,1578376800000,1578404820000,Boeing 787-8 (788)
631,UA2110,United Airlines,IAD,PHX,1578358200000,1578370020000,Boeing 737-900 Passenger
632,UA1964,United Airlines,IAD,SEA,1578324600000,1578335700000,Boeing 737-900 Passenger
633,DL2220,Delta Airlines,IAD,SEA,1578355200000,1578366540000,Airbus A319 (319)
634,UA326,United Airlines,IAD,SEA,1578357000000,1578367800000,Boeing 737-900 Passenger
635,UA542,United Airlines,IAD,DEN,1578351600000,1578358920000,Boeing 737-900 Passenger
636,UA1108,United Airlines,IAD,DEN,1578313500000,1578320460000,Boeing 737-900 Passenger
637,UA2305,United Airlines,IAD,DEN,1578364500000,1578371520000,Boeing 737-800 (738)
638,UA1908,United Airlines,IAD,DEN,1578340200000,1578347520000,Boeing 737-800 (738)
639,UA980,United Airlines,IAD,DEN,1578357000000,1578364800000,Boeing 737-900 Passenger
640,UA1889,United Airlines,IAD,DEN,1578323700000,1578330900000,Boeing 787-8 (788)
641,DL548,Delta Airlines,IAD,ATL,1578319200000,1578326580000,Boeing (Douglas) MD-88
642,DL2578,Delta Airlines,IAD,ATL,1578329640000,1578336420000,Boeing 717-200
643,DL1317,Delta Airlines,IAD,ATL,1578349080000,1578355800000,Boeing 717-200
644,DL1359,Delta Airlines,IAD,ATL,1578357900000,1578365520000,Boeing 717-200
645,UA6012,United Airlines,IAD,ATL,1578355500000,1578362640000,Bombardier CRJ-700 (CR7)
646,DL1520,Delta Airlines,IAD,ATL,1578315600000,1578322620000,Boeing 717-200
647,UA6201,United Airlines,IAD,ATL,1578339900000,1578347280000,Bombardier CRJ-700 (CR7)
648,DL1442,Delta Airlines,IAD,ATL,1578365160000,1578372300000,Boeing 717-200
649,UA2368,United Airlines,IAD,ATL,1578324300000,1578331680000,Airbus A319 (319)
650,DL340,Delta Airlines,IAD,ATL,1578338100000,1578345240000,Boeing (Douglas) MD-88
651,UA552,United Airlines,IAD,ORD,1578374100000,1578378120000,Airbus A320 (320)
652,UA1846,United Airlines,IAD,ORD,1578315600000,1578319500000,Boeing 737-700 Passenger
653,UA374,United Airlines,IAD,ORD,1578323700000,1578328260000,Boeing 737-900 Passenger
654,UA276,United Airlines,IAD,ORD,1578339900000,1578344100000,Airbus A319 (319)
655,UA1924,United Airlines,IAD,ORD,1578356400000,1578360900000,Airbus A320 (320)
656,UA721,United Airlines,IAD,ORD,1578331800000,1578336060000,Airbus A320 (320)
657,UA822,United Airlines,IAD,BOS,1578355860000,1578361740000,Airbus A319 (319)
658,UA641,United Airlines,IAD,BOS,1578324600000,1578330540000,Airbus A320 (320)
659,UA352,United Airlines,IAD,BOS,1578374100000,1578379740000,Boeing 737-900 Passenger
660,UA655,United Airlines,IAD,BOS,1578339900000,1578345540000,Boeing 737-900 Passenger
661,UA572,United Airlines,IAD,SFO,1578315600000,1578327240000,Boeing 737-900 Passenger
662,UA2008,United Airlines,IAD,SFO,1578339300000,1578350820000,Boeing 737-800 (738)
663,UA843,United Airlines,IAD,SFO,1578373500000,1578385260000,Airbus A320 (320)
664,UA560,United Airlines,IAD,SFO,1578351600000,1578363120000,Boeing 737-900 Passenger
665,UA424,United Airlines,IAD,SFO,1578323700000,1578335460000,Boeing 757-200 (752)
666,UA340,United Airlines,IAD,SFO,1578357000000,1578367740000,Boeing 777-200 (777)
667,UA1893,United Airlines,IAD,SFO,1578361500000,1578373200000,Boeing 757-200 (752)
